date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-01,EMAAR UH Equity,-9518.45,346440.0,292805.0,759,349,53635.0,64263.0,0.0,909321.45,9107994.45,639245.0,14.1,-765771.95
2025-09-02,EMAAR UH Equity,-3543.65,649823.0,744356.0,634,725,-94533.0,87152.0,-104529.0,1499991.15,19491035.25,1394179.0,14.3,1348278.25
2025-09-03,EMAAR UH Equity,27146.7,366169.0,439787.0,285,378,-73618.0,41877.0,-105633.0,1499988.6,11505107.4,805956.0,14.1,1065160.5
2025-09-04,EMAAR UH Equity,-13706.2,250844.0,305196.0,264,382,-54352.0,0.0,-104895.0,1499998.5,7910003.6,556040.0,14.35,766245.0
2025-09-08,EMAAR UH Equity,790.55,408015.0,503714.0,388,633,-95699.0,0.0,-105633.0,1499988.6,13039440.45,911729.0,14.3,1369286.25
2025-09-09,EMAAR UH Equity,6019.25,259448.0,257955.0,546,287,1493.0,41228.0,-40510.0,589560.4,7397336.05,517403.0,14.4,-15479.95
2025-09-10,EMAAR UH Equity,6651.05,322707.0,285690.0,547,265,37017.0,61335.0,-45966.0,874009.5,8690537.1,608397.0,14.25,-520841.2
2025-09-11,EMAAR UH Equity,1186.6,133281.0,115219.0,418,262,18062.0,28023.0,-17355.0,397926.6,3545534.8,248500.0,14.2,-255293.8
2025-09-12,EMAAR UH Equity,-3690.7,199500.0,277469.0,329,366,-77969.0,11094.0,-103605.0,1497092.25,6841260.95,476969.0,14.45,1122961.35
2025-09-15,EMAAR UH Equity,-8040.35,466694.0,402440.0,541,659,64254.0,96857.0,-73939.0,1375255.8,12448850.55,869134.0,14.15,-917234.45
2025-09-16,EMAAR UH Equity,-10477.9,549408.0,519494.0,771,557,29914.0,107913.0,-20803.0,1499990.7,14975159.8,1068902.0,13.9,-426282.5
2025-09-17,EMAAR UH Equity,-2411.5,534235.0,558381.0,567,605,-24146.0,74253.0,-70209.0,1017266.1,15018614.9,1092616.0,13.75,329596.0
2025-09-18,EMAAR UH Equity,10590.1,411847.0,416406.0,443,564,-4559.0,10000.0,-62455.0,871247.25,11605208.1,828253.0,13.9,73960.2
