date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-01,EMAAR UH Equity,1440.05,328522.0,310301.0,778,349,18221.0,30870.0,-23737.0,442984.5,9100660.45,638823.0,14.1,-255476.05
2025-09-02,EMAAR UH Equity,-956.5,665437.0,684882.0,615,706,-19445.0,48035.0,-43610.0,660481.25,18881698.5,1350319.0,14.3,277107.0
2025-09-03,EMAAR UH Equity,2294.8,396255.0,384234.0,282,392,12021.0,26864.0,-36087.0,512435.4,11140424.4,780489.0,14.1,-167201.3
2025-09-04,EMAAR UH Equity,-36.5,282537.0,266906.0,271,376,15631.0,17993.0,-47890.0,684827.0,7818358.75,549443.0,14.35,-224341.35
2025-09-08,EMAAR UH Equity,2596.4,441670.0,448780.0,392,561,-7110.0,16260.0,-34063.0,485397.75,12735576.1,890450.0,14.3,104269.4
2025-09-09,EMAAR UH Equity,5619.7,254500.0,251908.0,531,290,2592.0,26739.0,-33985.0,485985.5,7239970.0,506408.0,14.4,-31705.1
2025-09-10,EMAAR UH Equity,3333.3,297387.0,303339.0,539,266,-5952.0,36196.0,-35326.0,515636.25,8580678.5,600726.0,14.25,88149.3
2025-09-11,EMAAR UH Equity,1389.15,128879.0,121123.0,411,269,7756.0,25569.0,-14018.0,364358.25,3567050.35,250002.0,14.2,-108746.05
2025-09-12,EMAAR UH Equity,1025.55,224137.0,230903.0,332,342,-6766.0,14184.0,-47979.0,693296.55,6524424.65,455040.0,14.45,98794.25
2025-09-15,EMAAR UH Equity,-3281.05,390192.0,404362.0,467,670,-14170.0,52330.0,-37117.0,748033.0,11383433.65,794554.0,14.15,197224.45
2025-09-16,EMAAR UH Equity,2350.8,505653.0,514815.0,773,568,-9162.0,47331.0,-32226.0,667367.1,14294835.0,1020468.0,13.9,129702.6
2025-09-17,EMAAR UH Equity,-163.15,545507.0,527717.0,575,601,17790.0,31417.0,-37160.0,512808.0,14751366.15,1073224.0,13.75,-244775.65
