date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-01,EMAAR UH Equity,-9518.45,346440.0,293665.0,759,352,52775.0,64263.0,0.0,909321.45,9120120.45,640105.0,14.1,-753645.95
2025-09-02,EMAAR UH Equity,-3543.65,649823.0,749588.0,634,728,-99765.0,87152.0,-104529.0,1499991.15,19565852.85,1399411.0,14.3,1423095.85
2025-09-03,EMAAR UH Equity,27146.7,376265.0,439787.0,294,378,-63522.0,41877.0,-105633.0,1499988.6,11647461.0,816052.0,14.1,922806.9
2025-09-04,EMAAR UH Equity,-13706.2,250844.0,330269.0,264,396,-79425.0,0.0,-104895.0,1499998.5,8269801.15,581113.0,14.35,1126042.55
2025-09-08,EMAAR UH Equity,790.55,408015.0,505640.0,388,644,-97625.0,0.0,-105633.0,1499988.6,13066982.25,913655.0,14.3,1396828.05
2025-09-09,EMAAR UH Equity,6019.25,259448.0,267964.0,546,293,-8516.0,41228.0,-40510.0,589560.4,7541465.65,527412.0,14.4,128649.65
2025-09-10,EMAAR UH Equity,6651.05,332707.0,295692.0,549,267,37015.0,61335.0,-45966.0,874009.5,8975565.6,628399.0,14.25,-520812.7
2025-09-11,EMAAR UH Equity,1186.6,133491.0,115219.0,422,262,18272.0,28023.0,-17355.0,397926.6,3548516.8,248710.0,14.2,-258275.8
2025-09-12,EMAAR UH Equity,-3690.7,199500.0,287488.0,329,383,-87988.0,11094.0,-103605.0,1497092.25,6986035.5,486988.0,14.45,1267735.9
2025-09-15,EMAAR UH Equity,-8040.35,466695.0,402440.0,542,659,64255.0,96857.0,-73939.0,1375255.8,12448864.7,869135.0,14.15,-917248.6
2025-09-16,EMAAR UH Equity,-10477.9,579661.0,539494.0,797,565,40167.0,107913.0,-20803.0,1499990.7,15673676.5,1119155.0,13.9,-568799.2
2025-09-17,EMAAR UH Equity,-2411.5,534237.0,578381.0,568,616,-44144.0,74253.0,-70209.0,1017266.1,15293642.4,1112618.0,13.75,604568.5
2025-09-18,EMAAR UH Equity,10590.1,422903.0,416406.0,450,564,6497.0,10000.0,-62455.0,871247.25,11758886.5,839309.0,13.9,-79718.2
2025-09-19,EMAAR UH Equity,-1955.7,206793.0,308377.0,219,484,-101584.0,348.0,-107142.0,1499992.05,7221726.7,515170.0,14.05,1425299.5
2025-09-22,EMAAR UH Equity,-4016.4,215500.0,317561.0,195,348,-102061.0,17298.0,-102061.0,1439060.1,7522928.85,533061.0,14.15,1440146.75
2025-09-23,EMAAR UH Equity,3973.5,263248.0,370880.0,251,519,-107632.0,9783.0,-107913.0,1499990.7,8853422.0,634128.0,13.95,1505439.9
2025-09-24,EMAAR UH Equity,-3534.25,663537.0,721050.0,725,721,-57513.0,110701.0,-100651.0,1505506.4,18835177.05,1384587.0,13.6,778642.55
2025-09-25,EMAAR UH Equity,14987.7,540606.0,571767.0,498,415,-31161.0,34373.0,-61582.0,831357.0,14967035.2,1112373.0,13.4,432545.1
