date,stock,timestamp,side,price,market_trade_size,market_level_size,our_order_before,simulated_fill,our_order_after,inventory_after,cash_after,scheduled_refill_time
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:07,BUY,14.4,6111,214988.0,10000.0,173,9827.0,173.0,-2491.2000000000003,2025-09-01 10:03:07
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:07,BUY,14.4,1079,208877.0,9827.0,5,9822.0,178.0,-2563.2000000000003,2025-09-01 10:03:07
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,23316,140856.0,9822.0,3859,5963.0,4037.0,-58132.799999999996,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,3461,140856.0,5963.0,85,5878.0,4122.0,-59356.799999999996,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,1500,140856.0,5878.0,15,5863.0,4137.0,-59572.799999999996,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,20000,140856.0,5863.0,2839,3024.0,6976.0,-100454.4,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,2769,140856.0,3024.0,54,2970.0,7030.0,-101232.0,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,2000,140856.0,2970.0,28,2942.0,7058.0,-101635.2,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,1000,140856.0,2942.0,7,2935.0,7065.0,-101736.0,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,4000,140856.0,2935.0,113,2822.0,7178.0,-103363.2,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,500,140856.0,2822.0,1,2821.0,7179.0,-103377.59999999999,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,500,140856.0,2821.0,1,2820.0,7180.0,-103391.99999999999,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:02:39,BUY,14.4,37950,140856.0,2820.0,2820,0.0,10000.0,-144000.0,2025-09-01 10:03:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:03:45,BUY,14.35,3968,162066.0,10000.0,97,9903.0,10097.0,-145391.95,2025-09-01 10:04:45
2025-09-01,EMAAR UH Equity,2025-09-01 10:04:28,SELL,14.4,1000,121689.0,10000.0,8,9992.0,10089.0,-145276.75,2025-09-01 10:05:28
2025-09-01,EMAAR UH Equity,2025-09-01 10:04:32,BUY,14.35,22000,211398.0,9903.0,2289,7614.0,12378.0,-178123.9,2025-09-01 10:05:32
2025-09-01,EMAAR UH Equity,2025-09-01 10:05:03,BUY,14.35,15000,189898.0,10000.0,1184,8816.0,13562.0,-195114.3,2025-09-01 10:06:03
2025-09-01,EMAAR UH Equity,2025-09-01 10:06:08,SELL,14.4,350,94512.0,10000.0,1,9999.0,13561.0,-195099.9,2025-09-01 10:07:08
2025-09-01,EMAAR UH Equity,2025-09-01 10:06:29,SELL,14.4,1297,94162.0,9999.0,17,9982.0,13544.0,-194855.1,2025-09-01 10:07:29
2025-09-01,EMAAR UH Equity,2025-09-01 10:06:30,SELL,14.4,1298,92865.0,9982.0,18,9964.0,13526.0,-194595.9,2025-09-01 10:07:30
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:31,SELL,14.4,44776,91918.0,10000.0,10000,0.0,3526.0,-50595.899999999994,2025-09-01 10:11:31
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,799,93480.0,10000.0,6,9994.0,3532.0,-50682.299999999996,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,1134,92681.0,9994.0,13,9981.0,3545.0,-50869.49999999999,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,6149,91547.0,9981.0,413,9568.0,3958.0,-56816.69999999999,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,10429,91547.0,9568.0,1188,8380.0,5146.0,-73923.9,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,10255,91547.0,8380.0,1148,7232.0,6294.0,-90455.09999999999,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:39,BUY,14.4,11234,91547.0,7232.0,1378,5854.0,7672.0,-110298.29999999999,2025-09-01 10:11:39
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:46,BUY,14.4,927,17291.0,5854.0,49,5805.0,7721.0,-111003.9,2025-09-01 10:11:46
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:50,BUY,14.4,1411,6687.0,5805.0,297,5508.0,8018.0,-115280.7,2025-09-01 10:11:50
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:50,BUY,14.4,231,6687.0,5508.0,7,5501.0,8025.0,-115381.5,2025-09-01 10:11:50
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:52,BUY,14.4,716,3692.0,5501.0,138,5363.0,8163.0,-117368.7,2025-09-01 10:11:52
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:52,BUY,14.4,2000,3692.0,5363.0,1083,4280.0,9246.0,-132963.9,2025-09-01 10:11:52
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:52,BUY,14.4,976,3692.0,4280.0,258,4022.0,9504.0,-136679.1,2025-09-01 10:11:52
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:56,BUY,14.4,499,757.0,4022.0,328,3694.0,9832.0,-141402.30000000002,2025-09-01 10:11:56
2025-09-01,EMAAR UH Equity,2025-09-01 10:10:56,BUY,14.4,258,258.0,3694.0,258,3436.0,10090.0,-145117.50000000003,2025-09-01 10:11:56
2025-09-01,EMAAR UH Equity,2025-09-01 10:11:11,BUY,14.4,13814,21514.0,3436.0,3436,0.0,13526.0,-194595.90000000002,2025-09-01 10:12:11
2025-09-01,EMAAR UH Equity,2025-09-01 10:11:50,SELL,14.4,13467,13467.0,10000.0,10000,0.0,3526.0,-50595.90000000002,2025-09-01 10:12:50
2025-09-01,EMAAR UH Equity,2025-09-01 10:11:50,BUY,14.4,81613,89920.0,10000.0,10000,0.0,13526.0,-194595.90000000002,2025-09-01 10:12:50
2025-09-01,EMAAR UH Equity,2025-09-01 10:12:38,BUY,14.4,499,60120.0,10000.0,4,9996.0,13530.0,-194653.50000000003,2025-09-01 10:13:38
2025-09-01,EMAAR UH Equity,2025-09-01 10:12:38,BUY,14.4,708,60336.0,9996.0,8,9988.0,13538.0,-194768.70000000004,2025-09-01 10:13:38
2025-09-01,EMAAR UH Equity,2025-09-01 10:12:38,BUY,14.4,3713,59628.0,9988.0,231,9757.0,13769.0,-198095.10000000003,2025-09-01 10:13:38
2025-09-01,EMAAR UH Equity,2025-09-01 10:12:38,BUY,14.4,3387,59628.0,9757.0,192,9565.0,13961.0,-200859.90000000002,2025-09-01 10:13:38
2025-09-01,EMAAR UH Equity,2025-09-01 10:12:38,BUY,14.4,16693,59628.0,9565.0,4673,4892.0,18634.0,-268151.10000000003,2025-09-01 10:13:38
